n,m,seed,LB_type,time_ms
5,20,0,1,2.6066999998874962
5,20,0,2,6.369100010488182
5,20,0,3,5.131000012625009
5,20,0,4,4.738899995572865
5,20,0,BruteForce,19.119199947454035
5,20,238609294,0,25.4595999722369
5,20,238609294,1,22.956399945542216
5,20,238609294,2,56.40770000172779
5,20,238609294,3,35.15499999048188
5,20,238609294,4,25.09959996677935
5,20,238609294,BruteForce,18.81039998261258
5,20,477218588,0,21.08039997983724
5,20,477218588,1,22.402599977795035
5,20,477218588,2,51.03730002883822
5,20,477218588,3,31.304200005251914
5,20,477218588,4,27.306300005875528
5,20,477218588,BruteForce,18.854200025089085
5,20,715827882,0,26.38460003072396
5,20,715827882,1,29.075799975544214
5,20,715827882,2,68.82729998324066
5,20,715827882,3,43.59020001720637
5,20,715827882,4,33.96450000582263
5,20,715827882,BruteForce,18.79110001027584
5,20,954437176,0,26.04209998389706
5,20,954437176,1,26.00660000462085
5,20,954437176,2,60.55329996161163
5,20,954437176,3,35.12329998193309
5,20,954437176,4,33.75339997000992
5,20,954437176,BruteForce,18.824699975084513
5,20,1193046470,0,24.47479998227209
5,20,1193046470,1,27.059199986979365
5,20,1193046470,2,68.04539996664971
5,20,1193046470,3,36.19979997165501
5,20,1193046470,4,33.09010004159063
5,20,1193046470,BruteForce,19.533200014848262
5,20,1431655764,0,25.50879999762401
5,20,1431655764,1,27.245800010859966
5,20,1431655764,2,68.18390003172681
5,20,1431655764,3,39.84059998765588
5,20,1431655764,4,33.452400006353855
5,20,1431655764,BruteForce,18.75529997050762
5,20,1670265058,0,27.866499964147806
5,20,1670265058,1,29.77870003087446
5,20,1670265058,2,75.29210002394393
5,20,1670265058,3,41.770099953282624
5,20,1670265058,4,29.07949994551018
5,20,1670265058,BruteForce,18.805500003509223
5,20,1908874352,0,21.77829999709502
5,20,1908874352,1,23.113799979910254
5,20,1908874352,2,53.33279998740181
5,20,1908874352,3,29.81709997402504
5,20,1908874352,4,23.31020002020523
5,20,1908874352,BruteForce,18.652500002644956
5,20,2147483646,0,21.042800042778254
5,20,2147483646,1,23.359899991191924
5,20,2147483646,2,58.131599973421544
5,20,2147483646,3,36.26269998494536
5,20,2147483646,4,31.612599967047572
5,20,2147483646,BruteForce,18.786199972964823
